id,category,category_label,asset_kind,source_deck_name,source_deck,source_slide,source_shape_id,source_shape_name,shape_type,auto_shape_type,width,height,rotation,occurrences,preview,asset_png,keywords
icon-0057,icons,图标,picture,rebuilt-slide-02.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-02.pptx,1,64,Picture 63,13,1,36.391,36.391,0.0,1,previews/icon-0057.png,assets/png/icon-0057.png,picture|63|role|shield.png|rebuilt|slide|02.pptx
icon-0058,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,186,Picture 185,13,1,27.163,27.163,0.0,1,previews/icon-0058.png,assets/png/icon-0058.png,picture|185|loop|small.png|rebuilt|slide|01.pptx
icon-0059,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,80,Picture 79,13,1,31.043,31.043,0.0,1,previews/icon-0059.png,assets/png/icon-0059.png,picture|79|pin.png|rebuilt|slide|01.pptx
icon-0060,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,10,Picture 9,13,1,56.266,56.266,0.0,1,previews/icon-0060.png,assets/png/icon-0060.png,picture|9|building.png|rebuilt|slide|01.pptx
icon-0061,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,177,Picture 176,13,1,27.163,27.163,0.0,1,previews/icon-0061.png,assets/png/icon-0061.png,picture|176|upload.png|rebuilt|slide|01.pptx
icon-0062,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,219,Picture 218,13,1,50.445,50.445,0.0,1,previews/icon-0062.png,assets/png/icon-0062.png,picture|218|magnifier|chart.png|rebuilt|slide|01.pptx
icon-0063,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,173,Picture 172,13,1,17.462,17.462,0.0,1,previews/icon-0063.png,assets/png/icon-0063.png,picture|172|magnifier|chart.png|rebuilt|slide|01.pptx
icon-0064,icons,图标,picture,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,146,Picture 145,13,1,39.75,39.75,0.0,1,previews/icon-0064.png,assets/png/icon-0064.png,picture|145|识别3|knight可编辑复刻.pptx
icon-0065,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,215,Picture 214,13,1,62.087,62.087,0.0,1,previews/icon-0065.png,assets/png/icon-0065.png,picture|214|shield.png|rebuilt|slide|01.pptx
icon-0066,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,167,Picture 166,13,1,25.223,25.223,0.0,1,previews/icon-0066.png,assets/png/icon-0066.png,picture|166|download.png|rebuilt|slide|01.pptx
icon-0067,icons,图标,picture,rebuilt-slide-01.pptx,C:\Users\LENOVO\Documents\seconddevPPT\reference\knight-imagetopptx-skill\assets\rebuilt-slide-01.pptx,1,48,Picture 47,13,1,60.305,60.305,0.0,1,previews/icon-0067.png,assets/png/icon-0067.png,picture|47|hierarchy.png|rebuilt|slide|01.pptx
icon-0068,icons,图标,picture,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,140,Picture 139,13,1,50.25,48.75,0.0,1,previews/icon-0068.png,assets/png/icon-0068.png,picture|139|李佳1|快速可编辑复刻.pptx
line-0001,lines,线条,native_editable,识别2-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize2-rebuild\识别2-Knight可编辑复刻.pptx,1,41,chart-grid-10,9,-2,505.5,0.0,0.0,7,previews/line-0001.png,,chart|grid|10|识别2|knight可编辑复刻.pptx
line-0002,lines,线条,native_editable,李佳1_快速可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\李佳1-fast-reverse\李佳1_快速可编辑复刻.pptx,1,63,skill_divider_1,9,-2,0.75,114.75,0.0,6,previews/line-0002.png,,skill|divider|1|李佳1|快速可编辑复刻.pptx
line-0003,lines,线条,native_editable,识别3-Knight可编辑复刻.pptx,C:\Users\LENOVO\Documents\seconddevPPT\output\knight-recognize3-rebuild\识别3-Knight可编辑复刻.pptx,1,9,title-underline,9,-2,72.0,0.0,0.0,1,previews/line-0003.png,,title|underline|识别3|knight可编辑复刻.pptx
